track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4ZgZPrrSLi4sIiFkiahuxq,Hanap-Hanap,0,201653,"['24fEOzlKhgSNLIcy9NdmwH', '17Do37U0HEbxu1tOrKH8dL']","['James Reid', 'Nadine Lustre']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6XmskR1cMfgys1W7dExmgi,With a Smile (feat. Kelly Badon),64,264413,"['6ZgBJRjJsK1iOJGKGZxEUv', '32pTJUDIqu5vvX5McsyU26']","['South Border', 'Kelly Badon']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5AjbSv7nkr78wzmuHEfjg0,Magkabilang Mundo,54,236705,6urxZktbtGcTIIqxQZ1d8q,Jireh Lim,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0MqkYdGBzHx7lnaFvo7doR,Para Sa Akin,53,186240,0t7vWPRBcVv4xBEHPZHSWA,Sitti,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3gyEt1vswIEbpQqBs18Lha,Harana,59,182200,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7IMQ1yZP3PDLexgFtTNMER,Sa Isang Sulyap Mo,36,235706,24iA5JWciA6YyE1iticpjY,Bryan Termulo,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6BmTMKpRQUVxSyV7N361F0,Be My Lady - Telesereye Theme Song,42,217680,74KlZuH1AECATYKwBlWAdg,Jason Dy,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
2VNjWwKlOWU5qqKa5EquLW,Kahit Pa,51,235952,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
35J7SCjHvNJVk57XPxWoEA,Tabing Ilog,44,195933,2cUM0BKXb6AP3CQAYK7xOw,Barbie's Cradle,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
69vDjNSzDnkqD9H4tJKrD9,After Your Heart,41,272346,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5UvZwaeqSPR2B6zH4bxVEG,I Will Take You Forever,55,244080,"['11Jdq2gOTBhmfEYmFrZlue', '0t4whsA8hlWvd5heJSlKln']","['Kris Lawrence', 'Denise Laurel']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
71j3Gl83dDLKnsj65bN37c,Kasama Kang Tumanda - Acoustic Version,36,189413,3md8nxuNKjU6j2l4xE0UIh,Stagecrew,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1KBVCk98Cq4g9QyYeyFKu9,Mahal Kita Kasi,32,243680,"['1lBaGi7joYOctycH7aPRWd', '53kA1pRmJp1FzZ9J35bdVj']","['Chris Tsuper', 'Nicole Hyala']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3OpGUlDmRUXh0NkIYWoIlD,Your Song,67,168493,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4fUZ0djNmv3ouOk8Qr5mJJ,Be My Fairytale,40,232146,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
79yCQrawsilxU56g0UifKQ,Akin Ka Na Lang,1,198480,719ZCUqy59oGckcB1MzVTx,The Company,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4YoVlKOmQWqCZYaEg3Gsmw,Be Careful with My Heart - Version 2,30,249315,"['3Co9MbLi86tHHtN4f0wNpb', '4BNWanhw4AjSXjBm9L1Jzy']","['Sam Milby', 'Juris']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0lAqFH68FSQwa9rEomg7yW,Officially Missing You,25,267183,4BNWanhw4AjSXjBm9L1Jzy,Juris,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1WtpRQUvbyZAoEchymInA9,"Sundo - From ""The Good Son""",45,270823,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
29xs643Q96uQLD8f7SxYYw,Sa'yo,61,253360,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
